Asistencia (%)_scaled,Desarrollo de Tareas (%)_scaled,Facultad_Ciencias de la Salud,Promedio ponderado del semestre,Matrícula al día_Sí,carga_aprobada,backlog_aprob_scaled,Facultad_Ingeniería y Arquitectura,conflicto_trabajo_estudio_scaled,Becario_Sí,trabajo_ordinal_scaled,Procedencia_Lima,"¿La falta de recursos económicos, becas o facilidades de pago me haría interrumpir mis estudios?",Situación laboral_Tiempo completo,Trasladado(a)_Sí,Facultad_Teología,Formas de Pago_Otros,Deuda,Necesidades educativas especiales_Sí,Modo de solicitud_Ingreso directo,¿La dificultad de los cursos supera mis capacidades actuales y me lleva a considerar dejar la universidad?,¿La calidad de la enseñanza y las metodologías docentes me desmotivan al punto de pensar en abandonar?,"¿El estrés, la ansiedad u otros problemas de bienestar asociados a la vida universitaria me hacen considerar abandonar?",Crianza Adventista_Sí,¿La incompatibilidad entre mis horarios de trabajo y las clases me llevaría a abandonar la carrera.?,target_deserto
-0.06086956521739155,0.3376146788990832,False,16.64,True,0.8,-0.5,False,0.0,False,0.0,False,5,False,True,True,False,2735.37,False,True,3,5,3,False,1,0
-0.36521739130434805,-0.7119266055045874,True,13.76,True,0.6666666666666666,-0.5,False,2.5,False,2.0,True,5,True,False,False,False,3833.77,False,False,2,3,2,True,5,0
-0.06086956521739155,0.23486238532110112,False,9.95,True,0.375,1.0,False,0.5,False,2.0,True,2,True,False,False,False,1080.84,False,False,5,5,3,True,1,0
-0.07826086956521788,0.32293577981651417,False,16.08,True,0.5,-0.5,False,2.5,True,2.0,False,4,True,False,False,True,779.52,False,True,3,1,1,True,5,0
-0.2608695652173913,1.5192660550458719,False,13.08,False,0.5,0.5,False,0.0,False,0.0,True,5,False,False,False,False,560.9,False,False,4,1,1,True,1,0
0.147826086956522,0.5577981651376153,False,13.98,True,0.7142857142857143,0.0,False,0.0,False,0.0,True,3,False,False,False,False,1092.29,False,False,5,5,4,True,5,0
0.23478260869565243,0.9981651376146795,False,13.96,True,0.5,-0.5,False,0.25,False,1.0,False,2,False,False,False,True,377.38,False,False,4,5,1,True,1,0
-0.5391304347826089,-0.4477064220183482,True,14.93,True,0.5,-0.5,False,0.0,True,0.0,True,1,False,False,False,False,678.02,True,False,2,1,1,True,3,0
-0.19999999999999976,-1.3798165137614677,True,9.38,True,0.5,1.0,False,2.5,False,2.0,True,3,True,False,False,False,753.76,False,True,5,5,5,True,5,1
-0.0695652173913041,-0.5577981651376143,False,14.54,True,0.5714285714285714,0.0,False,0.0,False,0.0,True,3,False,False,False,False,1514.97,False,False,5,5,4,True,4,0
-0.5565217391304352,-0.4183486238532112,True,9.18,True,0.25,0.0,False,0.0,False,0.0,False,5,False,False,False,False,2098.36,False,False,3,2,3,True,4,0
-1.3391304347826092,0.49174311926605524,True,9.09,False,0.5,0.0,False,0.75,False,1.0,True,5,False,False,False,False,925.32,False,True,5,5,3,False,3,1
-0.34782608695652173,0.21284403669724813,False,13.94,False,0.5714285714285714,0.0,True,0.5,False,1.0,True,5,False,False,False,False,406.34,False,False,3,3,1,False,2,1
-0.6086956521739131,-0.02935779816513699,False,8.49,True,0.5,0.5,True,0.0,False,0.0,True,5,False,False,False,False,1832.85,False,False,5,1,1,False,1,1
0.38260869565217315,-0.5357798165137613,False,15.83,True,0.7142857142857143,-0.5,False,0.25,False,1.0,True,4,False,False,False,False,1142.79,False,False,2,3,4,True,1,0
0.3565217391304343,-0.11743119266055004,False,11.69,True,0.6,0.0,False,0.25,False,1.0,True,5,False,False,False,False,2275.81,False,False,5,1,2,False,1,1
-1.460869565217391,-0.9834862385321095,False,12.39,True,0.5,0.5,False,0.5,False,2.0,False,2,True,False,False,False,492.04,False,False,4,4,2,False,1,1
0.634782608695652,0.5871559633027523,False,8.12,True,0.42857142857142855,1.0,True,0.0,False,0.0,False,5,False,False,False,False,1285.78,False,False,1,1,1,True,1,0
-0.11304347826086932,1.0348623853211016,False,12.33,False,0.5,-0.5,False,2.5,False,2.0,True,4,True,False,False,False,733.93,False,False,4,4,5,True,5,0
-2.0869565217391304,-0.23486238532110112,True,10.82,True,0.5,0.0,False,0.0,False,0.0,False,5,False,False,False,False,3761.28,False,True,2,3,4,True,4,0
0.00869565217391255,-0.7926605504587154,False,12.93,True,0.625,0.5,True,0.0,True,0.0,True,4,False,True,False,False,235.07,False,False,3,1,5,True,5,1
0.3304347826086954,0.9247706422018355,False,8.79,True,0.4,0.0,True,0.0,False,0.0,False,2,False,False,False,False,1371.0,False,True,2,3,2,True,5,1
0.704347826086956,-0.17614678899082506,False,13.9,True,0.6666666666666666,0.0,False,1.0,True,1.0,True,2,False,False,False,False,582.22,False,False,1,3,1,True,4,0
1.165217391304347,-0.23486238532110112,True,12.56,True,0.5714285714285714,0.0,False,0.0,False,0.0,False,5,False,False,False,False,514.14,False,False,2,3,2,False,1,1
-0.7130434782608698,1.4018348623853216,False,12.8,True,0.5,0.5,False,0.0,False,0.0,True,2,False,False,False,False,189.86,False,True,3,2,5,False,1,0
0.9130434782608695,1.0715596330275237,True,13.56,True,0.6666666666666666,0.0,False,1.5,False,2.0,False,5,True,False,False,False,1544.27,False,True,1,5,4,False,3,0
-0.5652173913043478,-0.7412844036697244,False,6.11,False,0.375,1.5,True,0.0,False,0.0,False,5,False,False,False,False,929.82,False,True,5,4,5,True,1,1
-0.2608695652173913,-0.9027522935779815,False,10.21,False,0.42857142857142855,0.5,False,0.0,False,0.0,True,5,False,False,False,False,2006.61,False,True,5,1,2,False,3,0
-0.7130434782608698,-0.5577981651376143,False,11.46,True,0.6,0.0,False,0.0,False,0.0,True,2,False,False,False,True,284.11,False,False,5,1,2,True,1,0
